City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Waingapu,ID,2021-09-24 20:05:36,-9.6567,120.2641,75.15,78,80,7.38,broken clouds
60,Luderitz,NA,2021-09-24 20:05:36,-26.6481,15.1594,60.19,71,10,14.79,clear sky
61,Gudari,IN,2021-09-24 20:05:37,19.35,83.7833,76.55,97,74,0.6,broken clouds
62,Pascagoula,US,2021-09-24 20:05:37,30.3658,-88.5561,81.41,45,1,9.22,clear sky
63,Georgetown,MY,2021-09-24 20:05:38,5.4112,100.3354,82.89,87,20,0.0,few clouds
64,Barhiya,IN,2021-09-24 20:05:38,25.2833,86.0333,82.06,73,11,4.25,few clouds
65,Lebu,CL,2021-09-24 20:05:39,-37.6167,-73.65,58.03,76,4,9.15,clear sky
66,Carnarvon,AU,2021-09-24 20:05:39,-24.8667,113.6333,66.27,82,75,14.97,broken clouds
67,Kapaa,US,2021-09-24 20:05:40,22.0752,-159.319,84.18,75,90,4.0,overcast clouds
68,Ixtapa,MX,2021-09-24 20:05:40,20.7,-105.2,89.22,69,89,5.01,overcast clouds
69,Benguela,AO,2021-09-24 20:05:41,-12.5763,13.4055,73.96,78,59,3.96,broken clouds
70,Harstad,NO,2021-09-24 20:05:41,68.799,16.5293,47.59,96,96,8.99,overcast clouds
71,Boralday,KZ,2021-09-24 20:05:42,43.3578,76.8594,40.86,56,20,4.47,few clouds
72,Pevek,RU,2021-09-24 20:05:42,69.7008,170.3133,28.02,85,100,10.42,overcast clouds
73,Raudeberg,NO,2021-09-24 20:05:43,61.9875,5.1352,53.2,95,72,11.01,broken clouds
74,Turka,UA,2021-09-24 20:05:44,49.1541,23.0297,47.8,85,100,5.86,overcast clouds
75,Belmonte,BR,2021-09-24 20:05:44,-15.8631,-38.8828,73.9,61,55,8.97,broken clouds
76,Terney,RU,2021-09-24 20:05:44,45.0503,136.6092,49.84,76,21,6.02,few clouds
77,Narsaq,GL,2021-09-24 20:05:45,60.9167,-46.05,41.22,47,1,6.93,clear sky
78,Vestmanna,FO,2021-09-24 20:05:45,62.1564,-7.1664,41.92,87,75,5.75,broken clouds
79,Kirakira,SB,2021-09-24 20:05:46,-10.4544,161.9205,79.3,85,32,7.67,scattered clouds
80,Provideniya,RU,2021-09-24 20:05:47,64.3833,-173.3,33.98,90,100,18.03,light rain
81,Bubaque,GW,2021-09-24 20:05:47,11.2833,-15.8333,81.54,75,21,5.06,few clouds
82,Wangaratta,AU,2021-09-24 20:05:48,-36.3667,146.3333,41.31,83,1,9.22,clear sky
83,Parabel,RU,2021-09-24 20:05:48,58.6978,81.4825,33.46,97,100,7.18,overcast clouds
84,Ivankiv,UA,2021-09-24 20:05:49,50.9386,29.8943,50.61,88,100,13.27,overcast clouds
85,Priladozhskiy,RU,2021-09-24 20:05:49,59.85,31.4833,47.14,17,100,6.31,overcast clouds
86,Hermanus,ZA,2021-09-24 20:05:50,-34.4187,19.2345,56.89,86,37,2.66,scattered clouds
87,Bilibino,RU,2021-09-24 20:05:50,68.0546,166.4372,22.44,95,100,1.9,overcast clouds
88,Hithadhoo,MV,2021-09-24 20:05:51,-0.6,73.0833,82.47,69,100,14.61,overcast clouds
89,Yellowknife,CA,2021-09-24 20:03:37,62.456,-114.3525,46.42,94,100,4.0,overcast clouds
90,Catumbela,AO,2021-09-24 20:05:51,-12.4314,13.5472,73.98,78,44,3.38,scattered clouds
91,Klamath Falls,US,2021-09-24 20:01:45,42.2249,-121.7817,80.87,25,1,10.36,clear sky
92,San Luis,AR,2021-09-24 20:05:52,-33.295,-66.3356,78.03,19,0,10.85,clear sky
93,Vila Do Maio,CV,2021-09-24 20:05:53,15.1333,-23.2167,81.39,76,100,15.64,overcast clouds
94,Bonthe,SL,2021-09-24 20:05:53,7.5264,-12.505,78.78,85,84,5.88,broken clouds
95,Bridlington,GB,2021-09-24 20:05:54,54.0831,-0.1919,68.18,91,40,13.31,scattered clouds
96,Upernavik,GL,2021-09-24 20:05:54,72.7868,-56.1549,25.39,87,85,4.18,overcast clouds
97,Puerto Ayora,EC,2021-09-24 20:05:55,-0.7393,-90.3518,72.5,77,60,10.02,broken clouds
98,Bundaberg,AU,2021-09-24 20:05:55,-24.85,152.35,62.22,87,1,1.01,clear sky
