City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
521,Yueyang,CN,79.36,clear sky,29.3333,113.0919,Delong Fortune Hotel
532,Phan Thiet,VN,76.57,light rain,10.9333,108.1,Hotel Saigon-PT
537,Nushki,PK,76.08,clear sky,29.5542,66.0215,Shams hotel
539,Magway,MM,77.14,moderate rain,20.15,94.9167,Htein Htein Thar 2
541,Dicabisagan,PH,78.19,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
545,Bambanglipuro,ID,75.31,broken clouds,-7.95,110.2833,Puri Brata
547,Champerico,GT,85.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
549,Mersing,MY,77.52,overcast clouds,2.4312,103.8405,Timotel Hotel
552,Naze,JP,77.85,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
554,Iberia,US,80.67,clear sky,29.9502,-91.7507,back to back rv park
561,Yenagoa,NG,75.61,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
563,Quang Ngai,VN,75.78,overcast clouds,15.1167,108.8,Central Hotel
565,San Juan,AR,84.72,clear sky,-31.5375,-68.5364,Hotel Provincial
569,Masaurhi,IN,80.49,scattered clouds,25.3509,85.0342,ganesh tea shops
574,Dawei,MM,75.56,overcast clouds,14.0833,98.2,Hotel Dawei
575,Nabire,ID,75.18,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
577,Acapulco,MX,85.68,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
579,Guerrero Negro,MX,77.38,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
581,Ca Mau,VN,76.64,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
584,Nileshwar,IN,78.21,broken clouds,12.25,75.1,Neeleshwar Hermitage
592,Sola,VU,78.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
594,Mumford,GH,77.85,light rain,5.2618,-0.759,Spanish Villa
595,Tupelo,US,77.9,clear sky,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
599,Riohacha,CO,85.3,broken clouds,11.5444,-72.9072,Hotel Taroa
610,Texarkana,US,83.34,clear sky,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
621,Cayhagan,PH,78.6,broken clouds,9.6697,122.4256,Melrose Beach Resort
624,Acari,PE,78.22,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
625,Hamilton,US,76.19,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
626,Cockburn Town,TC,83.05,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
631,Nicoya,CR,80.15,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
632,Korba,IN,75.4,broken clouds,22.35,82.6833,Hotel Deendayal
636,Guane,CU,86.13,light rain,22.2025,-84.0875,base de Campismo LosPortales de Guane
638,Moyale,KE,76.87,overcast clouds,3.5167,39.0584,La Tahzan Guest House
640,Tutoia,BR,85.98,scattered clouds,-2.7619,-42.2744,Pousada Guará's
641,Tual,ID,79.95,broken clouds,-5.6667,132.75,Grand Vilia Hotel
644,Vaitape,PF,76.28,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
646,Puerto Escondido,MX,85.87,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
655,Wewak,PG,77.81,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
656,Tecoanapa,MX,86.11,overcast clouds,16.5167,-98.75,Hotel Manglares
657,Vicksburg,US,80.83,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
658,Syracuse,IT,75.88,few clouds,37.0881,15.2792,Hotel Posta
661,Ugoofaaru,MV,81.36,overcast clouds,5.6667,73.0,Ungoofaaru Inn
663,Veraval,IN,79.54,scattered clouds,20.9,70.3667,Lords Inn Somnath
667,Labuhan,ID,77.81,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
669,Yiyang,CN,79.65,clear sky,28.5892,112.3283,Tongcheng International Hotel
671,Praya,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
676,Kudahuvadhoo,MV,79.43,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
678,Mongo,TD,79.47,few clouds,12.1844,18.693,Résidences du Programme FIDA
680,Chiang Rai,TH,75.13,broken clouds,19.9167,99.9167,Bansaeo Garden and Resort
682,Manokwari,ID,79.23,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
683,Pathein,MM,75.38,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
684,Anloga,GH,79.74,scattered clouds,5.7947,0.8973,Pin Drop Hotel
686,Saint-Georges,GD,84.99,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
687,Oyama,JP,76.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
688,Bahia Honda,CU,84.31,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
691,Harper,LR,78.4,broken clouds,4.375,-7.7169,Screensaver
693,Zlitan,LY,77.23,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
696,Najran,SA,76.53,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
